# Show feedback bank — format: slug | researched date | remark

dreamland7 | 2026-08-17 | نمایش «دریم لند» با امتیاز ۴.۱ از ۵ در تیوال، اجرایی جسورانه در قالب سینمای صامت است که به دلیل بازی‌های فیزیکی برجسته، هماهنگی مثال‌زدنی بازیگران و کارگردانی ظریف تحسین بسیاری را برانگیخته است. با این حال، برخی تماشاگران دنبال کردن مسیر داستان را دشوار و درک آن را خسته‌کننده یافته‌اند، و از تکراری شدن ایده اولیه تا اواسط نمایش یا عدم وضوح بالانویس انگلیسی انتقاد کرده‌اند. همچنین، نظرات درباره لزوم و طولانی بودن بخش‌هایی از تعامل با تماشاگران یا رقص پایانی متفاوت است. در مجموع، علی‌رغم نقاط ضعف در پرداخت داستانی و گاه سردرگمی مخاطب، خلاقیت فرم و اجرای قوی آن را اثری دیدنی معرفی می‌کند.
emarat.chekhof | 2026-09-07 | نمایش «عمارت چخوف» با امتیاز 4.1 از 5 (بر اساس 539 رای در تیوال) در برداشت آزاد خود از سریال "Ghosts" و ارجاع به جهان فکری چخوف، نقاط قوت و ضعف مشخصی دارد. از نقاط قوت بارز می‌توان به بازی‌های یکدست و منسجم، به خصوص با حضور 16 بازیگر که اجرایی زنده و باورپذیر ارائه می‌دهند، اشاره کرد. طراحی لباس و گریم نیز مورد تحسین قرار گرفته و جزئیات بالایی دارد. موسیقی و تلفیق آن با حرکت‌های ریتمیک، از عناصر جذاب و تاثیرگذار نمایش برشمرده شده و به پویایی اثر کمک می‌کند. با این حال، برخی تماشاگران ریتم نمایش را در بعضی بخش‌ها نامنظم می‌دانند و معتقدند که پتانسیل‌های دراماتیک بیشتری می‌توانست به کار گرفته شود. همچنین، انتقاداتی درباره انسجام روایت، عدم وجود نشانه‌های کافی برای پیش‌بینی پایان تاثیرگذار و عدم نزدیکی به آثار چخوف به جز نام‌ها مطرح شده است. برخی دیگر نیز دیالوگ‌گویی‌ها را ضعیف و گاهی نامفهوم دانسته‌اند. در مجموع، بازخوردها تا حدی دوپهلوست؛ بسیاری آن را اجرایی هنرمندانه و خوش‌حس و حال می‌دانند که به شعور مخاطب احترام می‌گذارد، در حالی که برخی دیگر ضعف در متن و دیالوگ‌ها و عدم بهره‌برداری کامل از پتانسیل‌ها را نقطه ضعف اصلی می‌شمارند.
faramoshi8 | 2026-09-09 | نمایش «ساعت فراموشی» با امتیاز ۴.۴ از ۵ در تیوال (۱۰۰ رأی)، تلفیقی از تئاتر و موسیقی است که عمدتاً به دلیل اجرای پرانرژی رضا یزدانی و فضای صمیمانه مورد استقبال قرار گرفته است. انتخاب آهنگ‌ها، نورپردازی و گروه موسیقی اغلب به عنوان نقاط قوت اثر ذکر شده و برخی بازی نگار نیکدل را نیز قابل توجه دانسته‌اند. با این حال، نقدهایی جدی نیز وجود دارد که آن را بیشتر یک کنسرت کوچک می‌دانند تا تئاتر، فاقد داستان یا مفهوم منسجم. برخی تماشاگران از وجود تبلیغات متعدد اسپانسرها در ابتدا و انتهای اجرا و همچنین پخش ویدیوهای حواس‌پرت‌کننده بین صحنه‌ها گلایه کرده‌اند. تعداد زیاد آهنگ‌ها و تپق‌های بازیگر زن نیز از جمله نقاط ضعف اشاره‌شده است که مانع از درگیری کامل با اثر می‌شود. در مجموع، این نمایش تجربه‌ای لذت‌بخش برای علاقه‌مندان به موسیقی رضا یزدانی است، اما از منظر تئاتر با چالش‌هایی در روایت و ساختار مواجه است.
ghatl.emarat6 | 2026-09-08 | نمایش «قتل آقای هاورشام» با کسب امتیاز ۴.۳ از ۵ (از ۱۰۱ رأی) در تیوال، در میان مخاطبان با استقبال خوبی مواجه شده و به عنوان یک کمدی پرانرژی و خنده‌دار شناخته می‌شود. نقاط قوت آن شامل بازی‌های قابل قبول بازیگران، به‌ویژه احمد صمیمی و آذین نظری، و طراحی صحنه و لباس دقیق و هماهنگ است که به فضاسازی نمایش کمک می‌کند. با این حال، برخی تماشاگران و منتقدان به پراکندگی و عدم وضوح روایت داستان در بخش‌هایی از نمایش اشاره کرده‌اند که گاهی دنبال کردن خط اصلی را دشوار می‌سازد. همچنین، برخی صحنه‌ها از ریتم افتاده و بیش از حد کشدار توصیف شده‌اند، و در نقدی تند، نمایش به "کمدی لودگی" متهم شده است. در مجموع، با وجود جلب رضایت عموم برای خنداندن، نمایش در حفظ انسجام داستانی و جلوگیری از تکرار با چالش‌هایی روبروست، و حتی بحث‌هایی درباره حذف نقدهای منفی از صفحات مربوط به آن در تیوال مطرح شده است.
hanooz.zendeheim2 | 2026-07-24 | نمایش «هنوز زنده‌ایم؛ داستان یک زلزله» با امتیاز تیوال ۳.۴ از ۵، ایده‌ای ارزشمند و پیامی قوی در مورد زلزله دارد و بازی سارا رسول‌زاده به دلیل انرژی بالا و توانایی در شخصیت‌پردازی، برجسته ارزیابی شده است. با این حال، ریتم نمایش از ابتدا کند و کشدار بوده و روایت فاقد غافلگیری و خلاقیت لازم است. همچنین بازی بازیگران یکدست و باورپذیر نبوده و در برخی بخش‌ها تصنعی به نظر می‌رسد، که در کنار متن خام و گنگ، مانع از همذات‌پنداری کامل مخاطب شده است.
hippocampus3 | 2026-08-15 | نمایش کمدی-فلسفی «هیپوکامپوس» با امتیاز ۴.۱ از ۵ در تیوال، تلاشی برای کاوش در مفاهیم هویت، حافظه و معنای زندگی در بستر رویا و خیال است. این اثر که بین کمدی فلسفی و نمایش ایرانی حرکت می‌کند، به رغم بازی‌های پرانرژی بازیگران و موسیقی پویا، ممکن است در ابتدا ریتمی کُند در جذب مخاطب داشته باشد و فاقد آغازی صریح باشد. با این حال، طنز فلسفی و بازی با لایه‌های ذهنی، مخاطب را به تدریج درگیر می‌کند. در مجموع، بازخوردهای کلی به سمت مثبت متمایل است، اما برخی نقدها به شروع و ریتم اولیه نمایش اشاره کرده‌اند.
khatranj | 2026-07-24 | «خطرنج» با امتیاز ۴.۰ از ۵ در تیوال، نمایشی رئالیستی و درگیرکننده است که با اقتباس از رمان «تصرف عدوانی» به کاوش چالش‌های روابط عاطفی و فضای هنری می‌پردازد. بازی‌های درخشان و باورپذیر بازیگران، خصوصاً مهتاب ثروتی و عباس جمالی، از نقاط قوت اصلی کار است که تماشاگر را تا پایان همراه می‌کند. طراحی صحنه نیز خلاقانه و موثر ارزیابی شده است. اما برخی منتقدان به سطحی بودن پرداخت متن در برخی لایه‌ها، ضعف پروژکشن صدای بازیگر مرد، و گاهی بی‌تسلطی در اکت‌های فریاد اشاره کرده‌اند. همچنین، مزاحمت صدای بیرون سالن از مشکلات اجرایی گزارش شده است.
khoroos3 | 2026-09-04 | نمایش «جیره‌بندی پر خروس برای سوگواری» با امتیاز ۴.۳ از ۵ در تیوال (با ۱۰۲ رأی)، از استقبال خوبی از سوی مخاطبان برخوردار شده است. این اجرا به دلیل متن عمیق و هوشمندانه، بازی‌های باورپذیر و به دور از اغراق، و همچنین فضاسازی مؤثر از طریق نور، موسیقی و طراحی صحنه که حس دلهره و تعلیق را به خوبی منتقل می‌کند، مورد تحسین قرار گرفته است. دیالوگ‌های حساب‌شده و روایتی تدریجی، تماشاگر را تا لحظات پایانی درگیر نگه می‌دارد؛ اما برخی تحلیل‌ها به چالش‌هایی در متن اصلی، از جمله ابهام در تعریف شخصیت‌ها و طرح پرسش‌های بنیادین، اشاره دارند که می‌تواند درک آن را برای برخی پیچیده سازد. در مجموع، این نمایش تجربه‌ای تأمل‌برانگیز و موفق در ایجاد فضایی رازآلود است که علی‌رغم پیچیدگی‌های متن، توانسته ارتباط خوبی با مخاطب برقرار کند.
madhouse | 2026-09-08 | نمایش «دیوانه‌خانه زری بوره» با امتیاز ۴ از ۵ در تیوال، واکنش‌های متفاوتی را برانگیخته اما نظرات مثبت غلبه دارند. نقطه قوت اصلی و مورد توافق اغلب تماشاگران و منتقدان، بازی‌های «باورپذیر»، «درخشان» و «مسلط» بازیگران، به‌ویژه ایمان فتاحی، حمیدرضا کوهرنگ و امیرعلی بهبهانی است. همچنین، فضاسازی نمایش در یک خانه قدیمی و نزدیکی بازیگران به مخاطب که تجربه‌ای نفس‌به‌نفس و غوطه‌ورکننده ایجاد می‌کند، تحسین شده است. با این حال، برخی از تماشاگران معتقدند نمایشنامه «ضعیف» است و به جای عمق، اغراق بر آن حاکم شده و روایت برای برخی نامفهوم یا بی‌سر و ته به نظر رسیده است. همچنین، مشکلاتی نظیر تهویه ضعیف و گرمای محیط اجرا نیز به عنوان نقطه ضعف ذکر شده است. در مجموع، این نمایش به عنوان اثری تأمل‌برانگیز در باب قدرت و جنون، با کارگردانی متمایز همایون غنی‌زاده که از ستاره‌ها فاصله گرفته، تجربه‌ای متفاوت ارائه می‌دهد.
malakezaibayi7 | 2026-08-20 | نمایش «ملکه زیبایی لی‌نین» با وجود کسب امتیاز 4.4 از 5 در تیوال (از 100 رای)، بازخوردهای متفاوتی از سوی تماشاگران و منتقدان دریافت کرده است. کارگردانی همایون غنی‌زاده در فضاسازی و میزانسن‌ها، در کنار طراحی صحنه و موسیقی، به‌عنوان نقاط قوت اثر مورد تحسین قرار گرفته است. با این حال، انتقاداتی مبنی بر عدم وفاداری به متن اصلی مارتین مک‌دونا و تبدیل یک تراژدی به کمدی‌ای ضعیف مطرح شده. همچنین، مشکلاتی نظیر گنگی صدای بازیگران، به‌ویژه ویشکا آسایش و همایون غنی‌زاده، استفاده بیش از حد از افکت‌های صوتی و موسیقی، و گریم‌های اغراق‌آمیز که مانع ارتباط با متن می‌شدند، از نقاط ضعف اجرایی است. طولانی بودن غیرضروری برخی صحنه‌ها نیز به خستگی مخاطب انجامیده است. جمع‌بندی حاکی از اجرایی با خلاقیت‌های بصری اما گاهی ناموفق در انتقال عمق نمایشنامه و حفظ ارتباط با تماشاگر است.
man18 | 2026-09-22 | نمایش «من، او، آن» با امتیاز ۴.۴ از ۵ در تیوال، اثری چندلایه و پرقدرت با ریتم تند است که مخاطب را درگیر پرسش‌های عمیق درباره سرنوشت و روابط پیچیده امروزی می‌کند. بازی‌های حرفه‌ای و پرانرژی بازیگران، به ویژه شمیم معین و سعید یاری، از نقاط قوت اصلی کار محسوب می‌شود و نورپردازی خلاقانه و موسیقی هماهنگ نیز به فضا و روایت کمک شایانی کرده است. با این حال، برخی تماشاگران معتقدند داستان گاهی کلیشه‌ای، بی‌ربط و نامنسجم به نظر می‌رسد و پایان‌بندی می‌توانست قوی‌تر باشد. در مجموع، این نمایش اثری جسورانه از تیمی جوان با پتانسیل بالاست که نیاز به پختگی بیشتر در برخی جنبه‌های دراماتیک دارد.
medea32 | 2026-09-20 | نمایش «مده‌آ» با امتیاز ۴.۲ از ۵ از ۲۸۴ رای در تیوال، اجرایی تحسین‌برانگیز در ابعاد بصری و موسیقایی است و از نورپردازی و فضاسازی چشمگیری بهره می‌برد. بازی‌های قدرتمند، به‌ویژه نقش‌آفرینی ریحانه رضی در به تصویر کشیدن خشم مادرانه، به عنوان نقطه قوت اصلی مورد ستایش قرار گرفته است. کارگردانی هوشمندانه و آوانگارد نیز از دیگر جنبه‌های مثبت ذکر شده، اما برخی تماشاگران احساس کرده‌اند که حرکات بدنی گاهی بیش از حد بوده و فرم بر محتوا غلبه داشته است. همچنین، نقدهایی به عدم تعمق کافی در لایه‌های شخصیتی مده‌آ و پیچیدگی‌های داستان، با وجود رویکردی متفاوت نسبت به متن اصلی، وارد شده است. در مجموع، نمایش با وجود قوت‌های فراوان در اجرا و بازیگری، در برخی جزئیات نیازمند تعادل بیشتری بین فرم و عمق محتوا دانسته شده است.
moonwalk | 2026-09-12 | نمایش «مون‌واک» با امتیاز تیوال ۴.۴ از ۵ (۱۰۴ رای) با استقبال بسیار مثبتی از سوی تماشاگران و منتقدان مواجه شده است. مهم‌ترین نقطه قوت این اثر تک‌نفره، بازی درخشان و بی‌نظیر محمد شعبان‌پور است که به تنهایی توانسته تماشاگر را برای دو ساعت بدون خستگی میخکوب کند و او را با خود به عمق قصه ببرد. متن نمایشنامه نیز با وجود سادگی، تأثیرگذار توصیف شده و ترکیبی از خنده و بغض را به مخاطب ارائه می‌دهد. با این حال، در بازخوردهای موجود، ضعف مشخصی برای این نمایش برجسته نشده و نظرات عمدتاً ستایش‌آمیز هستند. در مجموع، «مون‌واک» به عنوان یک مونولوگ قوی و تاثیرگذار، به شدت توصیه شده است.
motherq2 | 2026-09-16 | نمایش «مادر کیو» با امتیاز بالای ۴.۷ از ۵ در تیوال، عموماً اثری کمدی و موفق تلقی می‌شود که به دلیل بازی‌های قوی، به خصوص محسن زرآبادی‌پور، و کارگردانی خلاقانه در استفاده از میزانسن، طراحی صحنه و لباس مورد تحسین قرار گرفته است. طنز هوشمندانه آن در روایت داستانی دلنشین و انتقال مفاهیم اجتماعی از نقاط قوت برجسته است. با این حال، برخی منتقدان معتقدند نمایشنامه ظرفیت پختگی و انسجام بیشتری برای جذب مخاطب گسترده‌تر را دارد و رویکرد کارگردان در تکیه بر تصویر و بدن بازیگر گاهی ممکن است به یکنواختی منجر شود. در مقابل این نظرات مثبت، بازخوردی نیز وجود دارد که شوخی‌ها را بی‌مزه و تکراری دانسته و تجربه تئاتر را ناامیدکننده توصیف کرده است.
nariya5 | 2026-09-05 | نمایش «ناریا» با امتیاز 4.3 از 5 در تیوال مورد توجه قرار گرفته، اما بازخوردهای کیفی آن دوپهلو است. کارگردانی اثر و جسارت در پرداخت به مسائل روز اجتماعی از نقاط قوت محسوب می‌شود و بازیگران نیز در برخی لحظات جزئیات را به خوبی نمایش داده‌اند. با این حال، سطح بازی‌ها در مجموع عادی ارزیابی شده و بار احساسی نمایش اغلب از عمق دراماتیک کافی برخوردار نیست. متن نمایش سطحی، گاهی بیش از حد سیاست‌زده و فاقد عمق لازم در پرداخت موضوعات دانسته شده، همچنین تعدد بازیگران و داد و فریادهایشان در صحنه کوچک مورد نقد قرار گرفته است. به نظر می‌رسد علی‌رغم تلاش کارگردان، ضعف در فیلمنامه و عدم پرداخت عمیق به شخصیت‌ها از نقاط ضعف اصلی این اثر به شمار می‌رود.
people.places.things2 | 2026-08-29 | نمایش «آدم‌ها مکان‌ها چیزها» با امتیاز ۴ از ۵ در تیوال، به دلیل انتخاب هوشمندانه متن دانکن مک‌میلان و کارگردانی و بازی قوی معصومه بیگی، به ویژه در نقش اصلی، مورد تحسین تماشاگران و منتقدان قرار گرفته است. این اثر به دلیل پرداخت عمیق به مضامین اعتیاد، بحران هویت و بازسازی خود، تجربه‌ای روانکاوانه و تأثیرگذار ارائه می‌دهد. با این حال، برخی تماشاگران از عدم پخش موسیقی گروه «او و دوستانش» که انتظارش را داشتند، ابراز گلایه کرده‌اند. همچنین، سیاست سخت‌گیرانه عدم پذیرش تأخیر حتی در حد چند دقیقه، اعتراض برخی مخاطبان را برانگیخته و تجربه آن‌ها را ناخوشایند ساخته است. به طور کلی، با وجود نقاط قوت چشمگیر در اجرا و مضمون، برخی انتقادات متوجه مسائل جانبی اجرایی و انتظارات برآورده نشده مخاطب است.
point.of.view3 | 2026-09-18 | نمایش «POV» با امتیاز ۴.۲ از ۵ در تیوال، اجرایی عمیق و تأمل‌برانگیز با بازی‌های قدرتمند، دقیق و بی‌نقص بازیگرانش مورد تحسین قرار گرفته است. این اثر با کارگردانی خلاقانه و ترکیب هوشمندانه کمدی و ابزورد، توانسته ارتباط زنده‌ای با مخاطب برقرار کند. با این حال، برخی تماشاگران ریتم نسبتاً کند و مکث‌های طولانی، خصوصاً در ابتدای نمایش، را از نقاط ضعف دانسته که گاهی باعث افت تمرکز و خستگی می‌شود. همچنین، دیدگاه‌هایی مبنی بر وام‌گرفتن فرم اجرا از بازیگران خارجی و عدم ارتباط با کمدی آن نیز وجود دارد. در مجموع، «POV» اثری پخته و محتوامحور است که تجربه‌ای متفاوت ارائه می‌دهد، اما نیازمند صبوری مخاطب در بخش‌هایی از آن است.
rig.chah4 | 2026-07-24 | نمایش «ریگ چاه» با امتیاز تیوال ۴.۲ از ۵، به عنوان یک تراژیک-کمدی درباره سربازان مرزی، با بازیگری‌های بسیار باکیفیت و استفاده درست از لهجه‌ها تحسین شده است. طنز تلخ و کنایه‌های درونی توانسته مخاطب را میان خنده و گریه نگه دارد و به کابوس سربازی و بی‌عدالتی‌ها لب مرز اشاره کند. نقاط قوت اصلی شامل زیست درست بازیگران و هدایت خوب کارگردان، علی پیمان، بوده است. با این وجود، برخی منتقدان ضعف در پیشبرد درام در نمایشنامه و عدم وجود یک پیرنگ اصلی قوی را از نقاط ضعف اساسی برشمرده‌اند. همچنین، مشکلاتی نظیر صدای پایین بازیگران و سرما در ردیف‌های آخر سالن مطرح شده است.
sal | 2026-09-09 | نمایش «سال تحویل» با امتیاز ۴.۱ از ۵ در تیوال، با هوشمندی درام و کمدی را در هم آمیخته و موقعیت‌های تلخ و شیرین زندگی را به تصویر می‌کشد. کارگردانی میثم نوروزی در هماهنگی بازی‌ها، میزانسن، نور و موسیقی دقیق و ستایش‌شده است و بازیگران نیز عموماً، به‌ویژه پویا نوروزی، اجرایی قدرتمند ارائه می‌دهند. متن وحید منتظری با اپیزودهای منسجم خود، تجربه‌های زیسته انسانی را از زوایای گوناگون روایت می‌کند، هرچند برخی آن را از نظر محتوا و شوخی‌ها معمولی و پیش پا افتاده دانسته‌اند. دکور صحنه ساده اما کاربردی است، اما طولانی بودن زمان تعویض صحنه‌ها و مشکلات اجرایی سالن نظیر گرمای زیاد و تاخیر در آغاز نمایش از نقاط ضعف ذکر شده است. با این حال، تماشاگران عمدتاً آن را اجرایی جذاب و تأثیرگذار می‌دانند که باعث تفکر و رضایت می‌شود.
sale | 2026-07-24 | نمایش «برای فروش» با امتیاز تیوال ۳.۹ از ۵، عمدتاً به دلیل بازی‌های قوی بازیگران مورد تحسین قرار گرفته است. برخی معتقدند که حتی با وجود ضعف متن، بازیگری قوی و کارگردانی خوب توانسته‌اند اثر را جذاب کنند. اما انتقاد اصلی متوجه متن ضعیف و ادبیات برخی شخصیت‌ها است که با اتکا به شوخی‌های جنسی، به سمت طنزی سطحی گرایش پیدا کرده و از خدمت به روایت بازمانده است.
